year,doxodn,r1v2,chlico,food_share,savings_rate,region
2016,82958.85180065133,38.072498791686805,4.039149347510874,62.274546757596404,4.0342022732309895,Дагестан
2017,79345.42451917849,34.215594375798894,4.075841499786962,61.250950140094304,5.235200097627558,Дагестан
2018,121200.55836544637,36.52167630057804,3.995664739884393,63.70599097941971,6.0925338359127466,Дагестан
2019,137911.51289779606,36.938609112709834,3.992326139088729,62.44961260382338,7.973275485746653,Дагестан
2020,133030.86226524503,37.63834951456311,3.988834951456311,62.96911837893724,9.187676787462665,Дагестан
2021,148075.24898260998,37.44920558497834,3.992778045257583,62.14154706407613,7.8663875647706,Дагестан
2022,151430.71969502032,36.940737284181054,3.994400373308446,62.89371941426347,7.862600983133527,Дагестан
2023,155606.8650680336,36.53035294117647,4.056,60.72631868216736,8.878962817827185,Дагестан
2016,162713.42746546204,38.55900134065212,3.2408367692813598,41.64943716503411,20.46808006342646,Россия (без Дагестана)
2017,171459.8752565869,38.70043750317953,3.2432975530345423,40.85099887664172,20.016125662195275,Россия (без Дагестана)
2018,181152.23442091496,38.98163186883566,3.2426027923658256,39.66818886461823,20.17646162297265,Россия (без Дагестана)
2019,196361.76840664932,39.28914147764422,3.2960317859477946,39.74904408277555,20.267311366707464,Россия (без Дагестана)
2020,198659.60932515972,39.84564515302199,3.266314656277234,41.704962618885936,21.282058879145037,Россия (без Дагестана)
2021,218548.2150651,39.96270307375486,3.2790532123153584,40.777098027756075,20.637261550552353,Россия (без Дагестана)
2022,240396.09162897934,40.023032728018876,3.263157894736842,42.18462799909044,19.78731111856415,Россия (без Дагестана)
2023,267699.4524127076,40.838224169862016,3.22479588908887,42.092916470521054,20.357117283243053,Россия (без Дагестана)
